display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_input_fx_marker,text_official_input_fx_note,text_official_input_fx_source_url,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_fx_marker,text_cheapest_input_fx_note,text_cheapest_input_fx_source_url,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_quote_count,fetched_at
Qwen3 Embedding 8B,Qwen/Qwen3-Embedding-8B,Alibaba / Qwen,Embedding,text,litellm,https://github.com/BerriAI/litellm,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,official,USD,40960,got,0.02,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.01,,,,nebius,https://docs.tokenfactory.nebius.com/models/,models.dev,https://models.dev/api.json,11,2026-09-05
Qwen3 Reranker 0.6B,Qwen/Qwen3-Reranker-0.6B,Alibaba / Qwen,Embedding,text,modelsdev,https://models.dev,0.6,0.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,40960,weight open source,,,,,,,0.01,,,,nearai,https://docs.near.ai/,models.dev,https://models.dev/api.json,2,2026-09-05
Qwen3 Reranker 4B,Qwen/Qwen3-Reranker-4B,Alibaba / Qwen,Embedding,text,litellm,https://github.com/BerriAI/litellm,4,4,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,,,0.025,,,,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,3,2026-09-05
Qwen3 Reranker 8B,Qwen/Qwen3-Reranker-8B,Alibaba / Qwen,Embedding,text,litellm,https://github.com/BerriAI/litellm,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,,,0.05,,,,novita,https://novita.ai/docs/api-reference/model-apis-llm-list-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-09-05
Qwen3 VL Embedding 2B,Qwen/Qwen3-VL-Embedding-2B,Alibaba / Qwen,Embedding,text | image | video,official_model_doc,https://huggingface.co/Qwen/Qwen3-VL-Embedding-2B,2,2,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen3 VL Embedding 8B,Qwen/Qwen3-VL-Embedding-8B,Alibaba / Qwen,Embedding,text | image,modelsdev,https://models.dev,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32000,weight open source,,,,,,,0.09,,,,stackit,https://docs.stackit.cloud/products/data-and-ai/ai-model-serving/basics/available-shared-models,models.dev,https://models.dev/api.json,1,2026-09-05
Qwen3 VL Reranker 2B,Qwen/Qwen3-VL-Reranker-2B,Alibaba / Qwen,Embedding,text | image | video,official_model_doc,https://huggingface.co/Qwen/Qwen3-VL-Reranker-2B,2,2,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen3 VL Reranker 8B,Qwen/Qwen3-VL-Reranker-8B,Alibaba / Qwen,Embedding,text | image | video,official_model_doc,https://huggingface.co/Qwen/Qwen3-VL-Reranker-8B,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Doubao Embedding Vision,doubao-embedding-vision,ByteDance / Doubao-Seed,Embedding,text | image,official_model_doc,https://www.volcengine.com/docs/82379/1330626,,,Online: Volcano Ark API,No,online,stable,0,proprietary,got,official,USD,,got,0.104308,⇄,CNY 0.7 → USD 0.104308; 1 CNY = 0.14901146 USD (ECB 2026-09-04),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,火山方舟官方价格（人工核验）,https://www.volcengine.com/product/doubao,0.104308,⇄,CNY 0.7 → USD 0.104308; 1 CNY = 0.14901146 USD (ECB 2026-09-04),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,volcengine-ark,https://www.volcengine.com/product/doubao,火山方舟官方价格（人工核验）,https://www.volcengine.com/product/doubao,1,2026-08-25
Embedding V1,Embedding-V1,Baidu / ERNIE,Embedding,text,official_family_catalog,https://cloud.baidu.com/product/wenxinworkshop.html,,,Online: Qianfan API,No,online,stable,0,proprietary,got,official,USD,,got,0.0745057,⇄,CNY 0.5 → USD 0.0745057; 1 CNY = 0.14901146 USD (ECB 2026-09-04),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,百度千帆官方价格,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,0.0745057,⇄,CNY 0.5 → USD 0.0745057; 1 CNY = 0.14901146 USD (ECB 2026-09-04),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,baidu-qianfan,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,百度千帆官方价格,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,1,2026-09-05
Amazon Nova Multimodal Embeddings,Amazon Nova Multimodal Embeddings,Amazon / Nova,Embedding,text | image | audio | video,litellm,https://github.com/BerriAI/litellm,,,Online: Amazon Bedrock,No,online,stable,0,proprietary,got,hosted,USD,8172,None,,,,,,,0.135,,,,bedrock,https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-09-05
Embed English Light V3.0,embed-english-light-v3.0,Cohere,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,official,USD,1024,got,0.1,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.1,,,,cohere,https://docs.cohere.com/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-09-05
Embed English V3.0,embed-english-v3.0,Cohere,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,official,USD,1024,got,0.1,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.1,,,,cohere,https://docs.cohere.com/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-09-05
Embed Multilingual Light V3.0,embed-multilingual-light-v3.0,Cohere,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,512,None,,,,,,,0.1,,,,oci,https://docs.oracle.com/en-us/iaas/Content/generative-ai/pretrained-models.htm,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-09-05
Embed Multilingual V3.0,embed-multilingual-v3.0,Cohere,Embedding,text,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,official,USD,1024,got,0.1,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.1,,,,cohere,https://docs.cohere.com/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-09-05
Embed V4.0,embed-v4.0,Cohere,Embedding,text | image,litellm,https://github.com/BerriAI/litellm,,,Online: API,No,online,stable,0,proprietary,got,official,USD,128000,got,0.12,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.12,,,,cohere,https://docs.cohere.com/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-09-05
Llama Nemotron Embed VL 1B V2,nvidia/llama-nemotron-embed-vl-1b-v2,NVIDIA,Embedding,text | image,modelsdev,https://models.dev,1,1,Both: NIM / Official Hugging Face Open Weight,No,both,stable,1,free,got,hosted,USD,10240,weight open source,,,,,,,0.01,,,,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,1,2026-09-05
Granite Embedding,Granite Embedding,IBM,Embedding,text,official_family_catalog,https://huggingface.co/ibm-granite/models,,,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Granite Embedding English R2,ibm-granite/granite-embedding-english-r2,IBM,Embedding,text,official_family_catalog,https://huggingface.co/ibm-granite/models,0.149,0.149,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Upstage Embed,Upstage Embed,Upstage,Embedding,text,official_family_catalog,https://console.upstage.ai/docs/capabilities,,,Online: Upstage API,No,online,stable,0,proprietary,got,official,USD,,got,0.1,,,,Upstage 官方价格,https://www.upstage.ai/pricing/api,0.1,,,,upstage,https://console.upstage.ai/docs/models,Upstage 官方价格,https://www.upstage.ai/pricing/api,1,2026-09-05
