display_name,Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_input_fx_marker,text_official_input_fx_note,text_official_input_fx_source_url,text_official_output_per_1m_usd,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_fx_marker,text_cheapest_input_fx_note,text_cheapest_input_fx_source_url,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_cheapest_output_per_1m_usd,text_cheapest_output_seller,text_cheapest_output_seller_url,text_cheapest_output_provider,text_cheapest_output_source_url,text_quote_count,audio_official_input_per_1m_usd,audio_official_output_per_1m_usd,audio_official_provider,audio_official_source_url,audio_cheapest_input_per_1m_usd,audio_cheapest_input_seller,audio_cheapest_input_seller_url,audio_cheapest_input_provider,audio_cheapest_input_source_url,audio_quote_count,fetched_at
Gemini 3.1 Flash Live Preview,gemini-3.1-flash-live-preview,Google,Speech & Audio,,,Online: Gemini Live API (Preview),Yes,online,preview,0,proprietary,got,official,USD,131072,got,0.75,,,,4.5,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.75,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,4.5,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,,,,,,,,2026-08-31
Gemini 3.1 Flash TTS Preview,gemini-3.1-flash-tts-preview,Google,Speech & Audio,,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,8192,got,1,,,,20,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,20,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,,,,,,,,2026-08-31
Gemini 3.5 Live Translate Preview,gemini-3.5-live-translate-preview,Google,Speech & Audio,,,Online: Gemini Live API (Preview),No,online,preview,0,proprietary,got,official,USD,16384,got,3.5,,,,21,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3.5,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,21,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,,,,,,,,2026-08-31
Voxtral Small (v25.07),Voxtral Small (v25.07),Mistral AI,Speech & Audio,,,Both: API / Open Weight,No,both,stable,1,free,got,official,USD,32768,got,0.1,,,,0.4,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.1,,,,mistral,https://docs.mistral.ai/getting-started/models/,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.334,cortecs,https://cortecs.ai/serverlessModels,models.dev,https://models.dev/api.json,3,,,,,,,,,,,2026-08-31
GLM-4 Voice,GLM-4-Voice,Zhipu AI / GLM,Speech & Audio,,,Online: BigModel API,No,online,stable,0,proprietary,got,official,USD,,got,11.9032,⇄,CNY 80 → USD 11.9032; 1 CNY = 0.14879043 USD (ECB 2026-08-28),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,,Zhipu BigModel,https://open.bigmodel.cn/pricing,11.9032,⇄,CNY 80 → USD 11.9032; 1 CNY = 0.14879043 USD (ECB 2026-08-28),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,Zhipu BigModel,https://open.bigmodel.cn/pricing,Zhipu BigModel,https://open.bigmodel.cn/pricing,,,,,,1,,,,,,,,,,,2026-08-31
GLM ASR 2512,GLM-ASR-2512,Zhipu AI / GLM,Speech & Audio,,,Online: BigModel API,No,online,stable,0,proprietary,got,official,USD,,got,2.38065,⇄,CNY 16 → USD 2.38065; 1 CNY = 0.14879043 USD (ECB 2026-08-28),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,,Zhipu BigModel,https://open.bigmodel.cn/pricing,0.03,,,,zhipu,https://docs.z.ai/guides/overview/pricing,Zhipu AI / GLM 官方文档,https://docs.z.ai/guides/overview/pricing.md,,,,,,2,,,,,,,,,,,2026-08-31
GPT Audio,gpt-audio,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,128000,got,2.5,,,,10,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,6,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Audio Mini,gpt-audio-mini,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,128000,got,0.6,,,,2.4,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.6,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.4,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,6,10,20,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime,gpt-realtime,OpenAI,Speech & Audio,,,Online: Realtime API,No,online,stable,0,proprietary,got,official,USD,32000,got,4,,,,16,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,4,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,16,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,3,32,64,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,32,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT Realtime Mini,gpt-realtime-mini,OpenAI,Speech & Audio,,,Online: Realtime API,No,online,stable,0,proprietary,got,official,USD,128000,got,0.6,,,,2.4,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.6,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.4,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,5,10,20,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1,2026-08-31
GPT 4o Mini TTS,gpt-4o-mini-tts,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,,got,0.6,,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.6,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,azure,https://ai.azure.com/explore/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3,,,,,,,,,,,2026-08-31
TTS 1,tts-1,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,,got,15,,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,15,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,,,,,,2,,,,,,,,,,,2026-08-31
TTS 1 HD,tts-1-hd,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,,got,30,,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,30,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,,,,,,2,,,,,,,,,,,2026-08-31
Whisper 1,whisper-1,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,,None,,,,,,,,0.0001,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,,,,,,1,,,,,,,,,,,2026-08-31
GPT 4o Transcribe,gpt-4o-transcribe,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,16000,got,2.5,,,,10,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,7,,,,,,,,,,,2026-08-31
GPT 4o Mini Transcribe,gpt-4o-mini-transcribe,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,16000,got,1.25,,,,5,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1.25,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,5,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,8,,,,,,,,,,,2026-08-31
GPT 4o Transcribe Diarize,gpt-4o-transcribe-diarize,OpenAI,Speech & Audio,,,Online: API,No,online,stable,0,proprietary,got,official,USD,16000,got,2.5,,,,10,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2.5,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,10,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,4,,,,,,,,,,,2026-08-31
Gemini 3.5 Transcribe,gemini-3.5-transcribe,Google,Speech & Audio,,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,,got,2,,,,12,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,12,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3,,,,,,,,,,,2026-08-31
Gemini 3.5 Transcribe Live,gemini-3.5-transcribe-live,Google,Speech & Audio,,,Online: Gemini Live API (Preview),No,online,preview,0,proprietary,got,official,USD,,got,3.5,,,,21,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.0001,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,21,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,,,,,,,,,,,2026-08-31
Voxtral Mini 3B 2507,mistralai/Voxtral-Mini-3B-2507,Mistral AI,Speech & Audio,4.7,4.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,128000,weight open source,,,,,,,,0.00462,,,,privatemode-ai,https://docs.privatemode.ai/api/overview,models.dev,https://models.dev/api.json,0.04,amazon-bedrock,https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html,models.dev,https://models.dev/api.json,3,,,,,,,,,,,2026-08-31
