title,venue,published_at,first_seen_at,source_updated_at,group,category,subcategories,paper_url,arxiv_id,doi,source_repos,metadata_sources
FlashDrive: Flash Vision-Language-Action Inference for Autonomous Driving,ICLR 2026,2026-08-13,2026-08-29,2026-08-21,Core Technology,Language,Diffusion x Autoregression,https://arxiv.org/abs/2608.12932,2608.12932,,tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
LibraSpec: Dynamic Diffusion-Based Speculative Decoding via Marginal-Gain-Driven Optimization,arXiv,2026-08-09,2026-08-29,2026-09-01,Core Technology,Language,Diffusion LLM | Diffusion x Autoregression,https://arxiv.org/abs/2608.08721,2608.08721,,AIDASLab/Awesome-Diffusion-LLM | tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
GST-Bench: Can VLMs Develop Global Spatial Awareness from Video?,arXiv,2026-08-06,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.05747,2608.05747,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
ChronoVision: Temporal Reasoning via Latent State Reconstruction,arXiv,2026-08-06,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.05631,2608.05631,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
LLM Agents: A Survey,www,2026-08-05,2026-09-01,2026-09-02,Core Technology,Language,LLM Agents,https://doi.org/10.20944/preprints202608.0265.v1,,10.20944/preprints202608.0265.v1,js-lee-AI/awesome-llm-agent-papers,source README | Crossref
RESPClinBench: Benchmarking Multimodal Clinical Decision-Making and Longitudinal Disease Management in Respiratory Specialty Care,arXiv,2026-08-05,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.04514,2608.04514,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
HelloWorld: Enabling Socially Interactive Characters in Video World Models,arXiv,2026-08-05,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM | Multimodal Reasoning,https://arxiv.org/abs/2608.05070,2608.05070,,zli12321/Vision-Language-Models-Overview | The-Martyr/Awesome-Multimodal-Reasoning,source README | Semantic Scholar
C$^3$PO: Evaluating Cross-Modal Composition and Counterfactual Performance in Omnimodal Models,arXiv,2026-08-05,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.05381,2608.05381,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
Video-DeepResearch: Towards the Next-Generation Multimodal Deepresearch Agent,arXiv,2026-08-04,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.03979,2608.03979,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
xPress: Parallel Refinement for Diffusion Drafters in Speculative Decoding,arXiv,2026-08-03,2026-08-29,2026-09-01,Core Technology,Language,Diffusion LLM | Diffusion x Autoregression,https://arxiv.org/abs/2608.02438,2608.02438,,AIDASLab/Awesome-Diffusion-LLM | tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
WorldExam: Benchmarking World Models from Apparent Appearance to Inherent Reactivity,arXiv,2026-08-03,2026-08-29,2026-08-31,Core Technology,Vision-Language,General VLM | Physical AI / Humanoids,https://arxiv.org/abs/2608.02603,2608.02603,,zli12321/Vision-Language-Models-Overview | junyuan-fang/awesome-physical-ai,source README | Semantic Scholar
HarMoE: Multi-Source Chest Radiograph Pretraining with Dataset-Disentangled Experts,arXiv,2026-08-03,2026-08-31,2026-08-30,Cross-disciplinary Applications,Medicine & Healthcare,Radiology Report Generation,https://arxiv.org/pdf/2608.02252,2608.02252,,mk-runner/Awesome-Radiology-Report-Generation,source README | Semantic Scholar
"Hunyuan3D-Buffalo 1.0: A Unified Multimodal Model for Scalable 3D Generation, Understanding, and Editing",arXiv,2026-08-03,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.02711,2608.02711,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
Can You Trust the Confidence? ConfBench for Vision-Language Models on Document Extraction,arXiv,2026-08-03,2026-08-29,2026-08-22,Core Technology,Vision-Language,General VLM,https://arxiv.org/abs/2608.01792,2608.01792,,zli12321/Vision-Language-Models-Overview,source README | Semantic Scholar
WAM-Diff2: Hierarchical AR-to-Diffusion Distillation for Highly Efficient Autonomous Driving VLA,arXiv,2026-08-02,2026-08-29,2026-08-21,Core Technology,Language,Diffusion x Autoregression,https://arxiv.org/abs/2608.01035,2608.01035,,tuteng0915/awesome-diffusion-ar,source README | Semantic Scholar
ZhuLong: Execution-Grounded LLM Agent for EDA Scripting with Offline API Self-Exploration,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,Engineering Agents,https://arxiv.org/abs/2608.07925,2608.07925,,whut09/Awesome-AI-Engineering-Agents,source README | arXiv identifier
When Your Agent Opens the Chat App: Agent-Controlled Search over Raw Chat Logs Rivals Structured Memory,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.12888,2608.12888,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
When Prompts Become Pixels: Prompt-Region Grounding for Multimodal Reasoning,arXiv,2026-08,2026-09-01,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.04726,2608.04726,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
When Memory Lies: An Empirical Study of Spatial Memory Staleness in VLM Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.04574,2608.04574,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
When Does Latent Communication Pay? A Causal Audit of Relayed KV Caches in Multi-Agent LLMs,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.04893,2608.04893,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
When Agents Coordinate: Measuring Coordination in Multi-Agent AI Coding,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.16801,2608.16801,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
What Does Context Compression Cost an Agent? Interaction Costs Unrevealed by Task-Completion Metrics,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.16370,2608.16370,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
Volumetric Radiology AI in the Era of Multimodal Large Language Models,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.20549,2608.20549,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Vero: Can AI Agents Build Formally Verified Software Repositories?,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.13522,2608.13522,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
VLM- and LLM-Driven Multi-Agent System for PET Image Denoising,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.13791,2608.13791,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
TumorBoard: Evidence-Grounded Multi-Agent Decision Support for Longitudinal Neuro-Oncology,arXiv,2026-08,2026-08-30,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Agents | Medical Imaging Agents,https://arxiv.org/abs/2608.03190,2608.03190,,AgenticHealthAI/Awesome-AI-Agents-for-Healthcare | Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
TraceCAD: Trace-Guided Repair for Agentic CAD Generation,arXiv,2026-08,2026-08-31,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,AI for CAD | Engineering Agents,https://arxiv.org/abs/2608.03062,2608.03062,,gudo7208/awesome-ai4cad | whut09/Awesome-AI-Engineering-Agents,source README | arXiv identifier
Towards Fully Automated Medical Imaging Code Generation via Validation-based Context Engineering,arXiv,2026-08,2026-09-03,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.29016,2608.29016,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
"Thinking With Tools, Not With Pixels: Tool Calls as Text Scaffolds for Visual Reasoning",arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.09682,2608.09682,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
"The Scaffolding Matters More Than the Interface: A Controlled Comparison of MCP and CLI Tool Use Across Seven Agent Scaffoldings, Five Language Models, and One Software Task",arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.08654,2608.08654,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
The Devil Is in the Interface: Evaluating How Tool Architecture Shapes Coding Agent Behavior,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.11386,2608.11386,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
The Bitter Lesson of Tool Calling,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.06370,2608.06370,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
TCM-Agent: Advancing network pharmacology and herbal medicine discovery with LLM-based multi-agent systems,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Traditional Chinese Medical LLM,https://doi.org/10.1016/j.jpha.2026.101581,2606.01276,10.1016/j.jpha.2026.101581,tyang816/Awesome-TCM-LLM,source README | Crossref | arXiv identifier
StepReflect: Structured UI Transition Reflection for Mobile GUI Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.05587,2608.05587,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
State-Conditioned Visual Evidence Retrieval for Fine-Grained Perception in Document Vision-Language Models,arXiv,2026-08,2026-09-02,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.28698,2608.28698,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
Software Engineering for and with GUI Agent,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.09278,2608.09278,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
Second Thought: Reasoning in Parallel as LLM Agents Act and Observe,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.13667,2608.13667,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
SearchMaster: Grounded and Regulated Self-Play for Search Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.01822,2608.01822,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv
"Same Semantics, Different Paths: Self-Improving Alignment for Vision-Text Compression",arXiv,2026-08,2026-08-31,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.02109,2608.02109,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
STRIVE: Multi-Agent Structured Temporal Reasoning with Integrated Verification for Longitudinal Radiology Report Generation,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Radiology Report Generation | Medical Imaging Agents,https://arxiv.org/pdf/2608.24237,2608.24237,,mk-runner/Awesome-Radiology-Report-Generation | Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
SEER: Long-Context Reasoning via Selective Visual-Text Compression,COLM,2026-08,2026-08-31,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM | Multimodal Reasoning,https://arxiv.org/abs/2608.15962,2608.15962,,Yuliang-Liu/AWESOME-OCR-LLM | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
SAGE: From Direct Answering to Evidence-Grounded Inference for Chinese Ancient Document Understanding,Chi,2026-08,2026-09-01,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.24011,2608.24011,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
R³-Bench: LLMs Struggle with Resource-Rational Reasoning under Shared Budgets,cell,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.16033,2608.16033,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
RAGOCR: Optical Compression of Retrieval-Augmented Text via Visual Representation,arXiv,2026-08,2026-09-01,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.00765,2608.00765,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
RA-CAD: Learning Post-Execution Critique for State-Aware Text-to-CAD Generation,arXiv,2026-08,2026-08-31,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,AI for CAD | Engineering Agents,https://arxiv.org/abs/2608.05714,2608.05714,,gudo7208/awesome-ai4cad | whut09/Awesome-AI-Engineering-Agents,source README | arXiv identifier
Persistent Recursive Worlds Enable Autonomous Software Evolution,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.10450,2608.10450,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
PaDoc: Layout-Grounded Parallel Decoding for Document Parsing,arXiv,2026-08,2026-09-01,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.06146,2608.06146,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
PATH-Bench: Path-Dependent Evaluation of Lifelong Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.01149,2608.01149,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
Ouroboros: A Self-Developing Frontier Coding Agent with Reviewed Core Evolution,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.08311,2608.08311,,js-lee-AI/awesome-llm-agent-papers | VoltAgent/awesome-ai-agent-papers,source README | arXiv identifier
OmnilingualGAIA2: Evaluating the Multilingual Gap in Frontier AI Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.08775,2608.08775,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
OmniRouting: A Semantic-Coupled Multimodal Benchmark for Constraint-Aware Spatial Reasoning in PCB Routing,arXiv,2026-08,2026-08-31,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,AI for CAD | Engineering Agents | Multimodal Reasoning,https://arxiv.org/abs/2608.04434,2608.04434,,gudo7208/awesome-ai4cad | whut09/Awesome-AI-Engineering-Agents | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
"NeuroPilot: An Agent-Driven Smart Pipeline for Processing, Quality Control, and Managing Neuroimages",arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.07541,2608.07541,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Multi-Agent AI System for Radiology Report Structuring and Quality Assurance with Independent Radiologist Evaluation,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.18072,2608.18072,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
MedClaw: Heuristic Agent Harness for Long-Horizon Surgical Video Reasoning,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents | Multimodal Reasoning | Long Context,https://arxiv.org/abs/2608.14015,2608.14015,,Nanboy-Ronan/awesome-medical-imaging-agents | The-Martyr/Awesome-Multimodal-Reasoning | Xnhyacinth/Awesome-LLM-Long-Context-Modeling,source README | arXiv identifier
MIRA: Medical Image Reflection for Agentic Diagnosis,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Agents | Medical Imaging Agents | Multimodal Reasoning,https://arxiv.org/abs/2608.10827,2608.10827,,AgenticHealthAI/Awesome-AI-Agents-for-Healthcare | Nanboy-Ronan/awesome-medical-imaging-agents | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
LoginTrap: Uncovering Task-Agnostic Phishing-Style Indirect Prompt Injection Attacks against LLM-based Web Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.04741,2608.04741,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
LUCAID: Agentic Multimodal AI for Lung Cancer Precision Pathology,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.23803,2608.23803,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Interactive Whole Slide Images for RL-based Tumour Segmentation,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents | Multimodal Reasoning,https://arxiv.org/abs/2608.16607,2608.16607,,Nanboy-Ronan/awesome-medical-imaging-agents | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
HLSmith: An Expert-Guided Agentic Framework for C/C++-to-HLS Translation,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,Engineering Agents,https://arxiv.org/abs/2608.06791,2608.06791,,whut09/Awesome-AI-Engineering-Agents,source README | arXiv identifier
Guideline-as-Oracle: Zero-Annotation Training of an Ophthalmic Telephone Triage Agent,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Agents | Medical Imaging Agents,https://arxiv.org/abs/2608.04772,2608.04772,,AgenticHealthAI/Awesome-AI-Agents-for-Healthcare | Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Governance at the Boundary: How Agent Decomposition Degrades Policy Compliance,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.16055,2608.16055,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
From Social Coding to Agentic Coding: Productivity and Relational Reconfiguration in Open-Source Communities,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.03585,2608.03585,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
ForeDreamer: A Self-Evolving Dual-Agent Memory Architecture for Future Event Prediction,EMNLP Findings 2026,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.20920,2608.20920,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
FRAC-MAS: A Safe and Explainable Multi-Agent System for Fracture Diagnosis,arXiv,2026-08,2026-09-03,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.28662,2608.28662,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
"Evidence, Logic, and Compliance: Multi-Agent Structured Graph Reasoning with Expert Arbitration for Medical Referral",arXiv,2026-08,2026-09-03,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.30938,2608.30938,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
"Everyone Conforms, No One Believes: Pluralistic Ignorance in LLM Agent Populations",arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.02758,2608.02758,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
EndoWAM: A Grounded World-Action Model for Generalizable Endoscopic Navigation,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.01221,2608.01221,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
Emergent Misaligned Communication in Long-Horizon Multi-Agent LLM Commerce,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.14825,2608.14825,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
EVADE: Evidence-Verified Agentic Diagnosis with Escape,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents | Multimodal Reasoning,https://arxiv.org/abs/2608.18833,2608.18833,,Nanboy-Ronan/awesome-medical-imaging-agents | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
EDATracer: An Agentic Framework for Large-Scale EDA Artifact Analysis,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Engineering & Manufacturing,Engineering Agents,https://arxiv.org/abs/2608.04032,2608.04032,,whut09/Awesome-AI-Engineering-Agents,source README | arXiv identifier
DrawAI: Agentic Benchmark and Workflow for Making Raster Images Editable,arXiv,2026-08,2026-09-01,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.00548,2608.00548,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
Does More Retrieved Evidence Help Visual Retrieval-Augmented Generation with Diffusion Language Models?,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,Diffusion LLM | OCR / Document VLM,https://arxiv.org/abs/2608.07006,2608.07006,,AIDASLab/Awesome-Diffusion-LLM | VILA-Lab/Awesome-DLMs | Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
DocPO: Advancing Document Policy Optimization via Tailored Step-Aware Rewards,arXiv,2026-08,2026-08-31,2026-09-02,Core Technology,Vision-Language,OCR / Document VLM,https://arxiv.org/abs/2608.00536,2608.00536,,Yuliang-Liu/AWESOME-OCR-LLM,source README | arXiv identifier
Diagnosing Tool-Selection Reasoning in LLM Agents with Canary Tools,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.04719,2608.04719,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
DentAgent: Evidence-Centric Multi-Agent Coordination for Multimodal Dental Reasoning,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents | Multimodal Reasoning,https://arxiv.org/abs/2608.18878,2608.18878,,Nanboy-Ronan/awesome-medical-imaging-agents | The-Martyr/Awesome-Multimodal-Reasoning,source README | arXiv identifier
Debate Training Reduces Reward Hacking in RLAIF,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.17776,2608.17776,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
Confident but Unreliable: A Behavioral Safety Audit of Vision-Language Models on Brain MRI,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.02790,2608.02790,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
ComponentBench: Diagnosing Component-Level Failures in Computer-Use Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents,https://arxiv.org/abs/2608.18307,2608.18307,,js-lee-AI/awesome-llm-agent-papers,source README | arXiv identifier
CityReal: Human-Aligned Urban Behavior and City Dynamics Simulation with Large-Scale LLM Agents,arXiv,2026-08,2026-08-29,2026-09-02,Core Technology,Language,LLM Agents | LLM in Social Science,https://arxiv.org/abs/2608.16897,2608.16897,,js-lee-AI/awesome-llm-agent-papers | VoltAgent/awesome-ai-agent-papers | ValueByte-AI/Awesome-LLM-in-Social-Science,source README | arXiv identifier
Can Coding Agents Build Robust Baselines? A Skill-Based Approach for Automating the Medical Imaging Model-Development Pipeline,arXiv,2026-08,2026-08-29,2026-09-02,Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,https://arxiv.org/abs/2608.23336,2608.23336,,Nanboy-Ronan/awesome-medical-imaging-agents,source README | arXiv identifier
