display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_input_fx_marker,text_official_input_fx_note,text_official_input_fx_source_url,text_official_output_per_1m_usd,text_official_output_fx_marker,text_official_output_fx_note,text_official_output_fx_source_url,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_cheapest_output_per_1m_usd,text_cheapest_output_seller,text_cheapest_output_seller_url,text_cheapest_output_provider,text_cheapest_output_source_url,text_quote_count,fetched_at
Qwen2.5 Coder 32B Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,32,32,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,,,,,,,0.06,huggingface,https://huggingface.co/docs/inference-providers,models.dev,https://models.dev/api.json,0.15,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,15,2026-08-30
Qwen2.5 Coder 3B Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,,,,,,,0.01,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.03,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-30
Qwen2.5 Coder 7B Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,7,7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,131072,weight open source,,,,,,,,,,,0.01,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.03,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,3,2026-08-30
Qwen3 Coder 30B A3B Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,30.5,3.3,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,got,hosted,USD,262144,weight open source,,,,,,,,,,,0.06,tensorx,https://docs.tensorx.ai/,models.dev,https://models.dev/api.json,0.245,cortecs,https://cortecs.ai/serverlessModels,models.dev,https://models.dev/api.json,28,2026-08-30
Qwen3 Coder 480B A35B Instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,480,35,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,got,hosted,USD,262144,weight open source,,,,,,,,,,,0.22,merge-gateway,https://docs.merge.dev/merge-gateway/models/catalog,models.dev,https://models.dev/api.json,1,siliconflow,https://cloud.siliconflow.com/models,models.dev,https://models.dev/api.json,20,2026-08-30
Qwen3 Coder Next,Qwen/Qwen3-Coder-Next,Alibaba / Qwen,Coding,text,litellm,https://github.com/BerriAI/litellm,80,3,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,got,hosted,USD,262144,weight open source,,,,,,,,,,,0.108,llmgateway-providers,https://llmgateway.io/docs,models.dev,https://models.dev/api.json,0.675,llmgateway-providers,https://llmgateway.io/docs,models.dev,https://models.dev/api.json,25,2026-08-30
Kimi K2.7 Code,kimi-k2.7-code,Moonshot AI / Kimi,Coding,text | image | video,modelsdev,https://models.dev,,,Online: API,Yes,online,stable,0,proprietary,got,official,USD,262144,got,0.95,,,,4,,,,Moonshot AI / Kimi 官方文档,https://platform.kimi.ai/docs/pricing/chat-k27-code.md,0.275,routing-run,https://docs.routing.run/api-reference/models,models.dev,https://models.dev/api.json,1.1,routing-run,https://docs.routing.run/api-reference/models,models.dev,https://models.dev/api.json,69,2026-08-30
Kimi K2.7 Code Highspeed,kimi-k2.7-code-highspeed,Moonshot AI / Kimi,Coding,text | image | video,modelsdev,https://models.dev,,,Online: API,Yes,online,stable,0,proprietary,got,official,USD,262144,got,1.9,,,,8,,,,Moonshot AI / Kimi 官方文档,https://platform.kimi.ai/docs/pricing/chat-k27-code.md,1.9,moonshot,https://platform.moonshot.ai/docs/pricing,Moonshot AI / Kimi 官方文档,https://platform.kimi.ai/docs/pricing/chat-k27-code.md,7.999,aihubmix,https://docs.aihubmix.com/en/api/Models-API,models.dev,https://models.dev/api.json,15,2026-08-30
Kimi K2.7 Code,moonshotai/Kimi-K2.7-Code,Moonshot AI / Kimi,Coding,text | image | video,modelsdev,https://models.dev,1000,32,Both: API / Official Hugging Face Open Weight,Yes,both,stable,1,free,got,official,USD,262144,got,0.95,,,,4,,,,Moonshot AI / Kimi 官方文档,https://platform.kimi.ai/docs/pricing/chat-k27-code.md,0.275,routing-run,https://docs.routing.run/api-reference/models,models.dev,https://models.dev/api.json,1.1,routing-run,https://docs.routing.run/api-reference/models,models.dev,https://models.dev/api.json,69,2026-08-30
Doubao Seed 2 0 Code Preview 260215,doubao-seed-2-0-code-preview-260215,ByteDance / Doubao-Seed,Coding,text | image,litellm,https://github.com/BerriAI/litellm,,,Online: Volcano Ark API (Preview),Yes,online,preview,0,proprietary,got,official,USD,256000,got,0.476129,⇄,CNY 3.2 → USD 0.476129; 1 CNY = 0.14879043 USD (ECB 2026-08-28),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,2.38065,⇄,CNY 16 → USD 2.38065; 1 CNY = 0.14879043 USD (ECB 2026-08-28),https://www.ecb.europa.eu/stats/eurofxref/eurofxref-daily.xml,火山方舟官方价格（人工核验）,https://www.volcengine.com/product/doubao,0.47499,volcengine,https://www.volcengine.com/docs/82379/1330310,models.dev,https://models.dev/api.json,2.37494,volcengine,https://www.volcengine.com/docs/82379/1330310,models.dev,https://models.dev/api.json,4,2026-08-25
North Mini Code 1 0,north-mini-code-1-0,Cohere,Coding,text,official_family_catalog,https://docs.cohere.com/docs/models,30,3,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,,,,,,,
Falcon H1 Tiny Coder 90M,Falcon H1 Tiny Coder 90M,TII / Falcon,Coding,text,official_family_catalog,https://huggingface.co/tiiuae/models,0.09,0.09,Offline: Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,,,,,,,
Mercury Edit 2,mercury-edit-2,Inception Labs,Coding,text,litellm,https://github.com/BerriAI/litellm,,,Online: Inception API,No,online,stable,0,proprietary,got,hosted,USD,128000,None,,,,,,,,,,,0.25,inception,https://platform.inceptionlabs.ai/docs/models,models.dev,https://models.dev/api.json,0.75,inception,https://platform.inceptionlabs.ai/docs/models,models.dev,https://models.dev/api.json,2,2026-08-30
