display_name,Model,Company,Function,Total Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,pricing_tier,billing_unit,official_price,video_unit_official_price_usd,video_unit_official_fx_marker,video_unit_official_fx_note,video_unit_official_fx_source_url,video_unit_official_provider,video_unit_official_source_url,video_unit_cheapest_price_usd,video_unit_cheapest_fx_marker,video_unit_cheapest_fx_note,video_unit_cheapest_fx_source_url,video_unit_cheapest_seller,video_unit_cheapest_seller_url,video_unit_cheapest_provider,video_unit_cheapest_source_url,video_unit_quote_count,fetched_at
Veo 3.1 Lite Generate Preview,veo-3.1-lite-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=True",per_second,None,,,,,,,0.05,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Grok Imagine Video,grok-imagine-video,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.05,,,,xAI 官方文档,https://docs.x.ai/developers/models.md,0.05,,,,xai,https://docs.x.ai/docs/models,xAI 官方文档,https://docs.x.ai/developers/models.md,1,2026-08-30
Grok Imagine Video,grok-imagine-video,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,resolution=480p,per_second,None,,,,,,,0.05,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Grok Imagine Video,grok-imagine-video,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,resolution=720p,per_second,None,,,,,,,0.07,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Grok Imagine Video 1.5,grok-imagine-video-1.5,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.08,,,,xAI 官方文档,https://docs.x.ai/developers/models.md,0.08,,,,xai,https://docs.x.ai/docs/models,xAI 官方文档,https://docs.x.ai/developers/models.md,1,2026-08-30
Grok Imagine Video 1.5,grok-imagine-video-1.5,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,resolution=1080p,per_second,None,,,,,,,0.25,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Grok Imagine Video 1.5,grok-imagine-video-1.5,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,resolution=480p,per_second,None,,,,,,,0.08,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Grok Imagine Video 1.5,grok-imagine-video-1.5,xAI,Video Generation,,Online: API,No,online,stable,0,proprietary,got,hosted,USD,resolution=720p,per_second,None,,,,,,,0.14,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
MiniMax H3,MiniMaxAI/MiniMax-H3,MiniMax,Video Generation,33,Both: MiniMax API / Official Hugging Face Open Weight,Yes,both,stable,1,free,got,hosted,USD,,per_second,weight open source,,,,,,,0.13,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
MiniMax H3,MiniMaxAI/MiniMax-H3,MiniMax,Video Generation,33,Both: MiniMax API / Official Hugging Face Open Weight,Yes,both,stable,1,free,got,official,USD,2K,per_second,got,0.13,,,,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,0.13,,,,minimax,https://platform.minimax.io/docs/guides/models-intro,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,1,2026-08-27
MiniMax H3,MiniMaxAI/MiniMax-H3,MiniMax,Video Generation,33,Both: MiniMax API / Official Hugging Face Open Weight,Yes,both,stable,1,free,got,official,USD,768p,per_second,got,0.08,,,,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,0.08,,,,minimax,https://platform.minimax.io/docs/guides/models-intro,MiniMax Video 官方按量价格（人工核验）,https://platform.minimax.io/docs/guides/pricing-paygo,1,2026-08-27
MiniMax H3,MiniMaxAI/MiniMax-H3,MiniMax,Video Generation,33,Both: MiniMax API / Official Hugging Face Open Weight,Yes,both,stable,1,free,got,hosted,USD,resolution=2k,per_second,weight open source,,,,,,,0.13,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Doubao Seedance 2.0,Doubao Seedance 2.0,ByteDance / Doubao-Seed,Video Generation,,Online: Volcano Ark API,No,online,stable,0,proprietary,got,hosted,USD,,per_second,None,,,,,,,0.07,,,,ofox,https://ofox.ai/docs/develop/models,ofox,https://api.ofox.ai/v2/models/catalog?include=provider_price&limit=1000,1,2026-08-30
Doubao Seedance 2.5,Doubao Seedance 2.5,ByteDance / Doubao-Seed,Video Generation,,Online: Volcano Ark API,No,online,stable,0,proprietary,got,hosted,USD,,per_second,None,,,,,,,0.11,,,,ofox,https://ofox.ai/docs/develop/models,ofox,https://api.ofox.ai/v2/models/catalog?include=provider_price&limit=1000,2,2026-08-30
Cosmos3 Super,nvidia/Cosmos3-Super,NVIDIA,Video Generation,64,Both: DeepInfra API / Official Hugging Face Open Weight,No,both,stable,1,free,got,hosted,USD,,per_frame,weight open source,,,,,,,0.0020833,,,,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,1,2026-08-30
Cosmos3 Nano,nvidia/Cosmos3-Nano,NVIDIA,Video Generation,16,Both: DeepInfra API / Official Hugging Face Open Weight,No,both,stable,1,free,got,hosted,USD,,per_frame,weight open source,,,,,,,0.00145833,,,,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,1,2026-08-30
Sora 2,sora-2,OpenAI,Video Generation,,"Online: API (Deprecated, EOL 2026-09-24)",No,online,deprecated,0,proprietary,got,official,USD,,per_second,got,0.1,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.05,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2,2026-08-30
Sora 2 Pro,sora-2-pro,OpenAI,Video Generation,,"Online: API (Deprecated, EOL 2026-09-24)",No,online,deprecated,0,proprietary,got,official,USD,,per_second,got,0.3,,,,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,0.15,,,,openai,https://platform.openai.com/docs/models,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,2,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,,per_second,got,0.15,,,,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.15,,,,gemini,https://ai.google.dev/gemini-api/docs/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"1080p, audio",per_second,got,0.12,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.12,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"4K, audio",per_second,got,0.3,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.3,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,official,USD,"720p, audio",per_second,got,0.1,,,,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,0.1,,,,google-gemini-api,https://ai.google.dev/gemini-api/docs/pricing,Google Gemini API Veo 官方价格（人工核验）,https://ai.google.dev/gemini-api/docs/pricing,1,2026-08-27
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=False",per_second,None,,,,,,,0.1,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=1080p, audio=True",per_second,None,,,,,,,0.15,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=4k, audio=False",per_second,None,,,,,,,0.3,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=4k, audio=True",per_second,None,,,,,,,0.35,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=False",per_second,None,,,,,,,0.1,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Veo 3.1 Fast Generate Preview,veo-3.1-fast-generate-preview,Google,Video Generation,,Online: Gemini API (Preview),No,online,preview,0,proprietary,got,hosted,USD,"resolution=720p, audio=True",per_second,None,,,,,,,0.15,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Gen4.5,gen4.5,Runway,Video Generation,,Online: Runway API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.12,,,,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,0.12,,,,runway,https://docs.dev.runwayml.com/guides/pricing/,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,2,2026-08-27
Gen4 Turbo,gen4_turbo,Runway,Video Generation,,Online: Runway API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.05,,,,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,0.05,,,,runway,https://docs.dev.runwayml.com/guides/pricing/,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,2,2026-08-27
Aleph2,aleph2,Runway,Video Generation,,Online: Runway API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.28,,,,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,0.28,,,,runway,https://docs.dev.runwayml.com/guides/pricing/,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,2,2026-08-27
Act Two,act_two,Runway,Video Generation,,Online: Runway API,No,online,stable,0,proprietary,got,official,USD,,per_second,got,0.05,,,,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,0.05,,,,runway,https://docs.dev.runwayml.com/guides/pricing/,Runway Dev 官方价格（人工核验）,https://docs.dev.runwayml.com/guides/pricing/,1,2026-08-27
Viduq3 Pro,viduq3-pro,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"540p, standard",per_second,got,0.045,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.045,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq3 Turbo,viduq3-turbo,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"540p, standard",per_second,got,0.035,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.035,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq3 Pro Fast,viduq3-pro-fast,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image-to-video, 720p, standard",per_second,got,0.1,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.1,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq3 Mix,viduq3-mix,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"reference-to-video, 720p, standard",per_second,got,0.12,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.12,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2,viduq2,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"text-to-video, 540p",per_second,got,0.01,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.01,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Pro,viduq2-pro,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 540p",per_second,got,0.025,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.025,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Turbo,viduq2-turbo,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 540p",per_second,got,0.01,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.01,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Viduq2 Pro Fast,viduq2-pro-fast,ShengShu / Vidu,Video Generation,,Online: Vidu API,No,online,stable,0,proprietary,got,official,USD,"image/start-end-to-video, 720p",per_second,got,0.01,,,,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,0.01,,,,vidu,https://platform.vidu.com/docs/pricing,Vidu API 官方价格（人工核验）,https://platform.vidu.com/docs/pricing,1,2026-08-27
Pixverse C1,pixverse-c1,PixVerse,Video Generation,,Online: PixVerse API,No,online,stable,0,proprietary,got,official,USD,"360p, no audio, direct credit purchase",per_second,got,0.06,,,,PixVerse API 官方价格（人工核验）,https://docs.platform.pixverse.ai/pricing-796039m0,0.06,,,,pixverse,https://docs.platform.pixverse.ai/pricing-796039m0,PixVerse API 官方价格（人工核验）,https://docs.platform.pixverse.ai/pricing-796039m0,1,2026-08-27
Pixverse V6,pixverse-v6,PixVerse,Video Generation,,Online: PixVerse API,No,online,stable,0,proprietary,got,official,USD,"360p, no audio, direct credit purchase",per_second,got,0.05,,,,PixVerse API 官方价格（人工核验）,https://docs.platform.pixverse.ai/pricing-796039m0,0.05,,,,pixverse,https://docs.platform.pixverse.ai/pricing-796039m0,PixVerse API 官方价格（人工核验）,https://docs.platform.pixverse.ai/pricing-796039m0,1,2026-08-27
Kling V2.5 Turbo T2v,klingai/kling-v2.5-turbo-t2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,mode=pro,per_second,None,,,,,,,0.07,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.5 Turbo T2v,klingai/kling-v2.5-turbo-t2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,mode=std,per_second,None,,,,,,,0.042,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.5 Turbo I2v,klingai/kling-v2.5-turbo-i2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,mode=pro,per_second,None,,,,,,,0.07,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.5 Turbo I2v,klingai/kling-v2.5-turbo-i2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,mode=std,per_second,None,,,,,,,0.042,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.6 T2v,klingai/kling-v2.6-t2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,"audio=False, mode=pro",per_second,None,,,,,,,0.07,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.6 T2v,klingai/kling-v2.6-t2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,"audio=True, mode=pro",per_second,None,,,,,,,0.14,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.6 T2v,klingai/kling-v2.6-t2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,mode=std,per_second,None,,,,,,,0.042,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
Kling V2.6 I2v,klingai/kling-v2.6-i2v,Kuaishou / Kling,Video Generation,,Online: Kling API,No,online,stable,0,proprietary,got,hosted,USD,"audio=False, mode=pro",per_second,None,,,,,,,0.07,,,,vercel,https://vercel.com/ai-gateway/models,Vercel AI Gateway,https://ai-gateway.vercel.sh/v1/models,1,2026-08-30
