display_name,Model,Company,Function,input_modalities,input_modalities_source,input_modalities_source_url,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,official_price
Hunyuan 7B Instruct,tencent/Hunyuan-7B-Instruct,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,7,7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Hunyuan MT 7B,tencent/Hunyuan-MT-7B,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,7,7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Tencent Hunyuan Large,tencent/Tencent-Hunyuan-Large,Tencent / Hunyuan,General-Purpose,text,official_family_catalog,https://cloud.tencent.com/document/product/1823,389,52,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Phi Ground Any,microsoft/Phi-Ground-Any,Microsoft,General-Purpose,text | image,official_model_doc,https://huggingface.co/microsoft/Phi-Ground-Any,4,4,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Tiny Aya Global,CohereLabs/tiny-aya-global,Cohere,General-Purpose,text,official_family_catalog,https://docs.cohere.com/docs/models,3.35,3.35,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Llama 3.1 Nemotron Nano 8B V1,Llama-3.1-Nemotron-Nano-8B-v1,NVIDIA,General-Purpose,text,modelsdev,https://models.dev,8,8,Both: NIM / Open Weight,Yes,both,stable,1,free,weights_free,weight open source
Nemotron 3 8B Chat 4K Sft,nvidia/nemotron-3-8b-chat-4k-sft,NVIDIA,General-Purpose,text,official_family_catalog,https://huggingface.co/nvidia/models,8,8,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
MiMo 7B RL,MiMo-7B-RL,Xiaomi / MiMo,General-Purpose,text,official_family_catalog,https://huggingface.co/XiaomiMiMo/models,7,7,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
MiMo VL 7B RL,MiMo-VL-7B-RL,Xiaomi / MiMo,General-Purpose,text | image,official_model_doc,https://huggingface.co/XiaomiMiMo/MiMo-VL-7B-RL,7,7,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Granite Docling,Granite Docling,IBM,General-Purpose,image | pdf,official_model_doc,https://huggingface.co/ibm-granite/granite-docling-258M,0.258,0.258,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,weight open source
Granite Vision 4.1,Granite Vision 4.1,IBM,General-Purpose,text | image,official_model_doc,https://huggingface.co/ibm-granite/granite-vision-4.1-4b,,,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,weight open source
Granite 4.1 30B Instruct,granite-4.1-30b-instruct,IBM,General-Purpose,text,official_family_catalog,https://huggingface.co/ibm-granite/models,30,30,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,weight open source
Granite 4.1 3B Instruct,granite-4.1-3b-instruct,IBM,General-Purpose,text,official_family_catalog,https://huggingface.co/ibm-granite/models,3,3,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,weight open source
Granite 4.1 8B Instruct,granite-4.1-8b-instruct,IBM,General-Purpose,text,official_family_catalog,https://huggingface.co/ibm-granite/models,8,8,Both: watsonx / Open Weight,No,both,stable,1,free,weights_free,weight open source
Ai21 Jamba Mini 1.7 FP8,ai21labs/AI21-Jamba-Mini-1.7-FP8,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,52,12,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Ai21 Jamba Reasoning 3B,ai21labs/AI21-Jamba-Reasoning-3B,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,3,3,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Ai21 Jamba2 Mini FP8,ai21labs/AI21-Jamba2-Mini-FP8,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,52,12,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Jamba Large,jamba-large,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,398,94,Both: API / Open Weight / Private,No,both,stable,1,free,weights_free,weight open source
Jamba Mini,jamba-mini,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,52,12,Both: API / Open Weight / Private,No,both,stable,1,free,weights_free,weight open source
Jamba2 3B,Jamba2 3B,AI21 Labs,General-Purpose,text,official_family_catalog,https://docs.ai21.com/docs/models,3,3,Offline: Open Weight / Private,No,offline,stable,1,free,weights_free,weight open source
Solar Open 2,Solar Open 2,Upstage,General-Purpose,text,official_family_catalog,https://console.upstage.ai/docs/capabilities,250,15,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
SOLAR 10.7B Instruct V1.0,upstage/SOLAR-10.7B-Instruct-v1.0,Upstage,General-Purpose,text,official_family_catalog,https://console.upstage.ai/docs/capabilities,10.7,10.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Solar Open 100B,upstage/Solar-Open-100B,Upstage,General-Purpose,text,official_family_catalog,https://console.upstage.ai/docs/capabilities,102,,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Baichuan M1 14B Instruct,baichuan-inc/Baichuan-M1-14B-Instruct,Baichuan AI,General-Purpose,text,official_family_catalog,https://huggingface.co/baichuan-inc/models,14,14,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Baichuan M3 235B,baichuan-inc/Baichuan-M3-235B,Baichuan AI,General-Purpose,text,official_family_catalog,https://huggingface.co/baichuan-inc/models,235,,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Baichuan Omni 1d5,baichuan-inc/Baichuan-Omni-1d5,Baichuan AI,General-Purpose,text | image | audio | video,official_model_doc,https://huggingface.co/baichuan-inc/Baichuan-Omni-1d5,,,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
BaichuanMed OCR 7B,baichuan-inc/BaichuanMed-OCR-7B,Baichuan AI,General-Purpose,text | image,official_model_doc,https://huggingface.co/baichuan-inc/BaichuanMed-OCR-7B,7,7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
SenseNova U1-8B-MoT,SenseNova U1-8B-MoT,SenseTime,General-Purpose,text,official_family_catalog,https://platform.sensenova.cn/pricing,8,8,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
SenseNova U1-A3B-MoT,SenseNova U1-A3B-MoT,SenseTime,General-Purpose,text,official_family_catalog,https://platform.sensenova.cn/pricing,30,3,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
SenseNova MARS 32B,SenseNova-MARS-32B,SenseTime,General-Purpose,text,official_family_catalog,https://platform.sensenova.cn/pricing,32,32,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
SenseNova MARS 8B,SenseNova-MARS-8B,SenseTime,General-Purpose,text,official_family_catalog,https://platform.sensenova.cn/pricing,8,8,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon Arabic,Falcon Arabic,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,,,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 Tiny R 0.09B,Falcon H1 Tiny R 0.09B,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,0.09,0.09,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon H1 Tiny R 0.6B,Falcon H1 Tiny R 0.6B,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,0.6,0.6,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon H1R 7B,Falcon H1R 7B,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,7,7,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon Mamba 7B,Falcon Mamba 7B,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,7,7,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon Perception 0.6B,Falcon Perception 0.6B,TII / Falcon,General-Purpose,text | image,official_model_doc,https://huggingface.co/tiiuae/Falcon-Perception,0.6,0.6,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon E,Falcon-E,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,,,Offline: Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1,Falcon-H1,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,,,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon H1 Arabic,Falcon-H1-Arabic,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,,,Offline: Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Falcon 11B,tiiuae/falcon-11B,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,11,11,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 0.5B Instruct,tiiuae/Falcon-H1-0.5B-Instruct,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,0.5,0.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 1.5B Instruct,tiiuae/Falcon-H1-1.5B-Instruct,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,1.5,1.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 34B Instruct,tiiuae/Falcon-H1-34B-Instruct,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,34,34,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 3B Instruct,tiiuae/Falcon-H1-3B-Instruct,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Falcon H1 7B Instruct,tiiuae/Falcon-H1-7B-Instruct,TII / Falcon,General-Purpose,text,official_family_catalog,https://huggingface.co/tiiuae/models,7,7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Motif 3 Beta,Motif-Technologies/Motif-3-Beta,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,314,13.2,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Motif 2 12.7B Reasoning,Motif-Technologies/Motif-2-12.7B-Reasoning,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,12.7,12.7,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Motif 2 12.7B Instruct,Motif-Technologies/Motif-2-12.7B-Instruct,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,12.7,12.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Motif 2 12.7B Base,Motif-Technologies/Motif-2-12.7B-Base,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,12.7,12.7,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Motif 2.6B,Motif-Technologies/Motif-2.6B,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,2.6,2.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
Motif 2.6B V1.1 LC,Motif-Technologies/Motif-2.6b-v1.1-LC,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,2.6,2.6,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Next,meituan-longcat/LongCat-Next,Meituan / LongCat,General-Purpose,text | image | audio | video,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Next,74,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Flash Prover,meituan-longcat/LongCat-Flash-Prover,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,560,27,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
LongCat Flash Lite,meituan-longcat/LongCat-Flash-Lite,Meituan / LongCat,General-Purpose,text,modelsdev,https://models.dev,68.5,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Flash Thinking ZigZag,meituan-longcat/LongCat-Flash-Thinking-ZigZag,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,560,27,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
LongCat Flash Thinking 2601,meituan-longcat/LongCat-Flash-Thinking-2601,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,560,27,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
LongCat HeavyMode Summary,meituan-longcat/LongCat-HeavyMode-Summary,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,560,27,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
LongCat Flash Omni,meituan-longcat/LongCat-Flash-Omni,Meituan / LongCat,General-Purpose,text | image | audio | video,official_model_doc,https://huggingface.co/meituan-longcat/LongCat-Flash-Omni,560,27,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Flash Thinking,meituan-longcat/LongCat-Flash-Thinking,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,560,27,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
LongCat Flash Chat,meituan-longcat/LongCat-Flash-Chat,Meituan / LongCat,General-Purpose,text,modelsdev,https://models.dev,560,27,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
DeepSeek V3.1 Nex N1,nex-agi/DeepSeek-V3.1-Nex-N1,Nex-AGI,General-Purpose,text,official_family_catalog,https://huggingface.co/nex-agi/models,671,37,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
DeepSeek V3.1 Nex N1.1,nex-agi/DeepSeek-V3.1-Nex-N1.1,Nex-AGI,General-Purpose,text,official_family_catalog,https://huggingface.co/nex-agi/models,683,37,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
InternLM3 8B Nex N1,nex-agi/internlm3-8B-Nex-N1,Nex-AGI,General-Purpose,text,official_family_catalog,https://huggingface.co/nex-agi/models,9,9,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Qwen3 32B Nex N1,nex-agi/Qwen3-32B-Nex-N1,Nex-AGI,General-Purpose,text,official_family_catalog,https://huggingface.co/nex-agi/models,33,33,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Qwen3 30B A3B Nex N1,nex-agi/Qwen3-30B-A3B-Nex-N1,Nex-AGI,General-Purpose,text,official_family_catalog,https://huggingface.co/nex-agi/models,31,3,Offline: Official Hugging Face / Open Weight,Yes,offline,stable,1,free,weights_free,weight open source
Motif 3 Base,Motif-Technologies/Motif-3-Base,Motif Technologies,General-Purpose,text,official_family_catalog,https://huggingface.co/Motif-Technologies/models,314,13.2,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
LongCat Flash Lite Sparse,meituan-longcat/LongCat-Flash-Lite-Sparse,Meituan / LongCat,General-Purpose,text,official_family_catalog,https://huggingface.co/meituan-longcat/models,69,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,weight open source
