Group,PrimaryCategory,Subcategory,Repository,GitHubURL,Coverage,MaintenanceStatus,UpdateMode,Priority,Notes
Core Technology,Audio & Speech,Music Generation,juhayna-zh/Awesome-Music-Generation-Papers,https://github.com/juhayna-zh/Awesome-Music-Generation-Papers,Text-to-music; lyrics-to-song; music foundation models,Includes 2026 systems,Manual/PR,Tier 1,Music-specific source
Core Technology,3D & Spatial,3D Generation,justimyhxu/awesome-3D-generation,https://github.com/justimyhxu/awesome-3D-generation,3D shape generation; 3D-aware generation,Canonical curated list,Manual/PR,Tier 1,Core 3D generation source
Core Technology,3D & Spatial,Spatial Intelligence,Yimi81/awesome-spatial-reasoning-scene-generation,https://github.com/Yimi81/awesome-spatial-reasoning-scene-generation,Spatial perception; reasoning; scene generation; simulation-ready 3D worlds,2026 content,Manual/PR,Tier 1,Emerging spatial-intelligence source
Core Technology,Unified Multimodal,Unified Understanding + Generation,AIDC-AI/Awesome-Unified-Multimodal-Models,https://github.com/AIDC-AI/Awesome-Unified-Multimodal-Models,Unified multimodal understanding/generation; any-to-any; omni models,Covers recent unified models,Continuous curation,Tier 1,Primary UMM source
Core Technology,Unified Multimodal,Unified Understanding + Generation,showlab/Awesome-Unified-Multimodal-Models,https://github.com/showlab/Awesome-Unified-Multimodal-Models,Unified multimodal models; understanding + generation,Focused UMM list,Manual/PR,Tier 1,Strong complementary UMM source
Core Technology,Unified Multimodal,Unified Multimodal,Purshow/Awesome-Unified-Multimodal,https://github.com/Purshow/Awesome-Unified-Multimodal,Unified multimodal architectures and papers,Includes recent work,Manual/PR,Tier 2,Supplementary UMM source
Core Technology,Robotics & Embodied AI,Embodied AI,zchoi/Awesome-Embodied-Robotics-and-Agent,https://github.com/zchoi/Awesome-Embodied-Robotics-and-Agent,Embodied robotics; VLM/LLM agents; VLA; navigation; manipulation,Updated 2026-05,Manual/PR,Tier 1,General embodied source
Core Technology,Robotics & Embodied AI,Physical AI / Humanoids,junyuan-fang/awesome-physical-ai,https://github.com/junyuan-fang/awesome-physical-ai,Robotics foundation models; manipulation; locomotion; navigation; RL; humanoids,2026-07 active,Automated + curated,Tier 1,Very active physical-AI source
Core Technology,Robotics & Embodied AI,VLA,yueen-ma/Awesome-VLA,https://github.com/yueen-ma/Awesome-VLA,Vision-language-action models; robotics; trend tracking,Large VLA collection,Hybrid automated/manual,Tier 1,Strong VLA landscape source
Core Technology,Robotics & Embodied AI,VLA / VLN,jonyzhang2023/awesome-embodied-vla-va-vln,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,VLA; VLN; embodied multimodal learning,Includes 2026 VLA papers,Manual/PR,Tier 2,Specialist supplement
Core Technology,Robotics & Embodied AI,World Models,JiahuaDong/Awesome-World-Models,https://github.com/JiahuaDong/Awesome-World-Models,World models; robotics; driving; environment modeling,Updated 2026-08,Continuous curated,Tier 1,World-model primary source
Core Technology,Robotics & Embodied AI,World Models,NeuraLiying/Awesome-World-Models,https://github.com/NeuraLiying/Awesome-World-Models,Large world-model paper collection,300+ papers reported,Manual/PR,Tier 2,World-model supplement
Cross-disciplinary Applications,Medicine & Healthcare,General Medical AI,FreedomIntelligence/Awesome-AI4Med,https://github.com/FreedomIntelligence/Awesome-AI4Med,Medical LLMs; MLLMs; datasets; benchmarks; clinical AI,Active structured collection,Curated,Tier 1,Primary broad medical-AI source
Cross-disciplinary Applications,Medicine & Healthcare,General Medical AI,fabianofilho/awesome-medical-ai,https://github.com/fabianofilho/awesome-medical-ai,Clinical LLM; imaging; EHR; agents; tools,2026 recurring updates reported,Recurring curation,Tier 1,Broad medical-AI supplement
Cross-disciplinary Applications,Medicine & Healthcare,Medical Multimodal,richard-peng-xia/awesome-multimodal-in-medical-imaging,https://github.com/richard-peng-xia/awesome-multimodal-in-medical-imaging,Medical VLM; multimodal imaging; RAG; evaluation,Long-running curated collection,Manual/PR,Tier 1,Medical multimodal source
Cross-disciplinary Applications,Medicine & Healthcare,Radiology Report Generation,mk-runner/Awesome-Radiology-Report-Generation,https://github.com/mk-runner/Awesome-Radiology-Report-Generation,Radiology report generation; CXR; medical VLM; datasets; tools,Contains extensive 2026 papers,Manual/PR,Tier 1,Excellent RRG specialist source
Cross-disciplinary Applications,Medicine & Healthcare,Medical Report Generation,Dragon-Wu/awesome-medical-report-generation,https://github.com/Dragon-Wu/awesome-medical-report-generation,Medical/radiology report generation; datasets; code,Current searchable list,Manual/PR,Tier 2,MRG supplement
Cross-disciplinary Applications,Medicine & Healthcare,Medical Agents,AgenticHealthAI/Awesome-AI-Agents-for-Healthcare,https://github.com/AgenticHealthAI/Awesome-AI-Agents-for-Healthcare,Healthcare AI agents; medical LLMs; multimodal agents; benchmarks; datasets; applications,Active-2026 (verified 2026-08-20),Manual/PR,Tier 1,Replacement for obsolete AI-in-Health source
Cross-disciplinary Applications,Science & Discovery,Scientific Agents,OSU-NLP-Group/awesome-agents4science,https://github.com/OSU-NLP-Group/awesome-agents4science,Scientific agents; biology; chemistry; materials; ML/data science,Explicitly regularly updated,Manual/PR,Tier 1,Primary scientific-agent source
Cross-disciplinary Applications,Science & Discovery,Scientific Agents,zoedsy/awesome-science-agents,https://github.com/zoedsy/awesome-science-agents,AI scientists; life sciences; physical sciences; scientific benchmarks,2023-2026 coverage,Continuous curation,Tier 1,Complementary science-agent source
Cross-disciplinary Applications,Science & Discovery,General AI4Science,ai4s-research/awesome-ai-for-science,https://github.com/ai4s-research/awesome-ai-for-science,AI4Science tools; papers; datasets; scientific agents; research infrastructure; benchmarks,Active-2026 (verified 2026-08-27),Manual/PR,Tier 1,Replacement for obsolete dptech-corp AI4Science source
Cross-disciplinary Applications,Science & Discovery,Materials Science,tilde-lab/awesome-materials-informatics,https://github.com/tilde-lab/awesome-materials-informatics,Materials informatics; datasets; simulation; AI materials discovery,Open activity in 2026,Community maintained,Tier 2,Materials specialist
Cross-disciplinary Applications,Science & Discovery,Drug Discovery,yboulaamane/awesome-drug-discovery,https://github.com/yboulaamane/awesome-drug-discovery,Computational drug discovery; molecular modeling; docking; cheminformatics; ML tools and databases,Active-2026 (verified 2026-07-30),Manual/PR,Tier 1,Replacement for obsolete dptech-corp drug-discovery source
Cross-disciplinary Applications,Engineering & Manufacturing,AI for CAD,gudo7208/awesome-ai4cad,https://github.com/gudo7208/awesome-ai4cad,CAD generation; understanding; optimization; manufacturing,700+ papers; covers through 2026,Manual/PR,Tier 1,Primary engineering-design source
Cross-disciplinary Applications,Engineering & Manufacturing,Engineering Agents,whut09/Awesome-AI-Engineering-Agents,https://github.com/whut09/Awesome-AI-Engineering-Agents,Engineering agents; CAD/CAE; optics; PCB; FPGA,Includes recent 2026 work,Manual/PR,Tier 1,Engineering-agent source
Cross-disciplinary Applications,Education,AI/LLM for Education,GeminiLight/awesome-ai-llm4education,https://github.com/GeminiLight/awesome-ai-llm4education,Tutoring; assessment; pedagogy; educational agents; datasets; benchmarks,Contains many 2026 papers,Continuous curated,Tier 1,Primary education source
Cross-disciplinary Applications,Law & Governance,LLM and Law,Jeryi-Sun/LLM-and-Law,https://github.com/Jeryi-Sun/LLM-and-Law,Legal applications; reasoning; agents; law LLMs; datasets; evaluation,Daily cs.CL scan; active 2026-07,Daily automated,Tier 1,Excellent automated legal-paper source
Cross-disciplinary Applications,Business & Finance,LLM for Finance,FrederickPi1969/awesome-llm-for-finance,https://github.com/FrederickPi1969/awesome-llm-for-finance,Financial LLMs; reasoning; filings; trading agents; investment research,Includes 2026 papers; partition taxonomy,Structured curation,Tier 1,Primary finance-LLM source
Cross-disciplinary Applications,Business & Finance,AI for Finance,junhua/awesome-finance-ai-papers,https://github.com/junhua/awesome-finance-ai-papers,AI for finance papers from top CS venues,Current curated collection,Manual/PR,Tier 2,Broader finance source
Cross-disciplinary Applications,Business & Finance,AI Finance Ecosystem,ujjwaldhaka71/awesome-ai-finance,https://github.com/ujjwaldhaka71/awesome-ai-finance,Agents; LLMs; quant trading; research; portfolio; risk; datasets,2026-focused practitioner list,Continuous curation,Tier 2,Finance ecosystem supplement
Cross-disciplinary Applications,Business & Finance,Recommender Systems,Jinfeng-Xu/Awesome-Multimodal-Recommender-Systems,https://github.com/Jinfeng-Xu/Awesome-Multimodal-Recommender-Systems,Multimodal recommendation; e-commerce recommendation; retrieval,2026 conference updates reported,Manual/PR,Tier 2,Recommendation specialist
Cross-disciplinary Applications,Humanities & Social Science,LLM in Social Science,ValueByte-AI/Awesome-LLM-in-Social-Science,https://github.com/ValueByte-AI/Awesome-LLM-in-Social-Science,Psychology; values; simulation; economics; social-science applications/evaluation,Large active curated list,Manual/PR,Tier 1,Primary social-science source
Cross-disciplinary Applications,Humanities & Social Science,LLM for Social Science,KeHang-Zhu/Awesome-LLM-for-Social-Science,https://github.com/KeHang-Zhu/Awesome-LLM-for-Social-Science,LLMs as human proxies; economics; psychology; sociology,Explicitly actively maintained,Manual/PR,Tier 1,Complementary social-science source
Cross-disciplinary Applications,Humanities & Social Science,Psychometrics,ValueByte-AI/Awesome-LLM-Psychometrics,https://github.com/ValueByte-AI/Awesome-LLM-Psychometrics,Personality; values; morality; bias; theory of mind; social intelligence,Maintained specialist collection,Manual/PR,Tier 2,Psychology specialist
Cross-disciplinary Applications,Environment & Earth Science,Remote Sensing Foundation Models,Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models,Remote-sensing VFM; VLM; generative FM; geo; agents; benchmarks,Updated 2026-05,Continuous curated,Tier 1,Primary earth-observation FM source
Cross-disciplinary Applications,Environment & Earth Science,Weather & Climate,zhengkai15/Awesome-Weather-Forecast,https://github.com/zhengkai15/Awesome-Weather-Forecast,Medium-range forecasting; nowcasting; downscaling; data assimilation; extremes; climate; foundation models,Active-2026 (verified 2026-08-04),Manual/PR,Tier 1,Replacement for obsolete WeatherLearn source; includes 2026 papers
Cross-disciplinary Applications,Security & Cybersecurity,AI Security,8kSec/awesome-ai-security,https://github.com/8kSec/awesome-ai-security,Prompt injection; jailbreak; agent security; privacy; adversarial/AI security,Updated in 2026,Manual/PR,Tier 1,Primary AI-security source
Cross-disciplinary Applications,Security & Cybersecurity,AI Security Tools & Agents,scadastrangelove/awesome-ai-security-tools,https://github.com/scadastrangelove/awesome-ai-security-tools,SOC agents; pentest agents; fuzzing; red teaming; AI security tooling,2026 snapshots/updates,Continuous curation,Tier 1,Strong cyber-agent/security supplement
Cross-disciplinary Applications,Security & Cybersecurity,Cybersecurity + AI,brinhosa/awesome-ai-security,https://github.com/brinhosa/awesome-ai-security,LLM security; red teaming; MCP/agent security,Current curated collection,Manual/PR,Tier 2,Security supplement
Cross-disciplinary Applications,Science & Discovery,Drug Discovery Knowledge Graphs,AstraZeneca/awesome-drug-discovery-knowledge-graphs,https://github.com/AstraZeneca/awesome-drug-discovery-knowledge-graphs,Drug-discovery knowledge graphs; biomedical datasets; graph software; papers,Active-2026 (verified 2026-07-27),Manual/PR,Tier 2,Specialist source with a dedicated 2026 section
Cross-disciplinary Applications,Science & Discovery,Scientific LLM Benchmarks,subinium/Awesome-Scientific-LLM-Benchmarks,https://github.com/subinium/Awesome-Scientific-LLM-Benchmarks,Scientific reasoning and discovery benchmarks across math; physics; chemistry; materials; biology; agents,Active-2026 (verified 2026-08-03),Manual/PR,Tier 1,Adds 2026 scientific benchmark coverage
Cross-disciplinary Applications,Medicine & Healthcare,Medical Imaging Agents,Nanboy-Ronan/awesome-medical-imaging-agents,https://github.com/Nanboy-Ronan/awesome-medical-imaging-agents,Radiology; pathology; segmentation; medical VLM agents; self-evolving agents; benchmarks and datasets,Active-2026 (verified 2026-08-27),Manual/PR,Tier 1,Adds fast-moving medical imaging agent literature
Cross-disciplinary Applications,Medicine & Healthcare,Traditional Chinese Medical LLM,tyang816/Awesome-TCM-LLM,https://github.com/tyang816/Awesome-TCM-LLM,Traditional Chinese medicine LLMs; multimodal diagnosis; agents; datasets; benchmarks,Active-2026 (verified 2026-08-16),Manual/PR,Tier 2,Adds a distinct Chinese medical AI literature track
Core Technology,Vision-Language,OCR / Document VLM,Yuliang-Liu/AWESOME-OCR-LLM,https://github.com/Yuliang-Liu/AWESOME-OCR-LLM,OCR in the LLM era; document understanding; benchmarks; datasets; models,Active-2026 (verified 2026-08-28),Manual/PR,Tier 1,Adds document and OCR-focused 2026 literature
Core Technology,Vision-Language,Multimodal Reasoning,The-Martyr/Awesome-Multimodal-Reasoning,https://github.com/The-Martyr/Awesome-Multimodal-Reasoning,Multimodal reasoning; spatial and video reasoning; chain-of-thought; benchmarks and datasets,Active-2026 (verified 2026-08-23),Manual/PR,Tier 1,Adds dense 2026 multimodal reasoning coverage
Core Technology,Vision-Language,Multimodal Deep Research,ThreeSR/Awesome-Multimodal-Deep-Research,https://github.com/ThreeSR/Awesome-Multimodal-Deep-Research,Multimodal deep-research agents; visual search; citation-grounded reporting; benchmarks,Active-2026 (verified 2026-05-29),Manual/PR,Tier 2,Adds emerging multimodal deep-research literature
Core Technology,Language,Diffusion x Autoregression,tuteng0915/awesome-diffusion-ar,https://github.com/tuteng0915/awesome-diffusion-ar,Hybrid diffusion-autoregressive models for language; reasoning; code; multimodal; VLA; AI4Science,Active-2026 (verified 2026-08-21),Manual/PR,Tier 2,Adds an emerging hybrid modeling track
Core Technology,Vision,CVPR 2026 Proceedings,firetix/awesome-cvpr-2026-papers,https://github.com/firetix/awesome-cvpr-2026-papers,CVPR 2026 full proceedings; CVF and arXiv paper links; categorized machine-readable index,Active-2026 (verified 2026-08),Periodic automated/curated,Tier 1,Broad 2026 computer-vision proceedings coverage
Core Technology,Vision,CVPR 2025 Proceedings,52CV/CVPR-2025-Papers,https://github.com/52CV/CVPR-2025-Papers,CVPR 2025 categorized paper index with CVF open-access links,2025 complete; repository remains accessible,Completed conference index,Tier 1,Broad 2025 computer-vision proceedings coverage
Core Technology,3D & Spatial,3D Scene Generation,hzxie/Awesome-3D-Scene-Generation,https://github.com/hzxie/Awesome-3D-Scene-Generation,3D scene generation; Gaussian splatting; world generation; scene synthesis,Active-2026 (verified 2026-08-31),Manual/PR,Tier 1,Verified parser coverage: 213 recent papers before scholarly enrichment
Core Technology,3D & Spatial,Visual Spatial Reasoning,SIBench/Awesome-Visual-Spatial-Reasoning,https://github.com/SIBench/Awesome-Visual-Spatial-Reasoning,Visual-spatial reasoning; 3D understanding; benchmarks; multimodal spatial intelligence,Active-2026 (verified 2026-08-31),Manual/PR,Tier 1,Verified parser coverage: 132 recent papers before scholarly enrichment
Cross-disciplinary Applications,Humanities & Social Science,AI x Social Sciences,linfei-mise/Awesome-AI-x-SS,https://github.com/linfei-mise/Awesome-AI-x-SS,Computational social science; AI-enabled studies; simulation; communication; management; art,Active-2026 (verified 2026-08-31),Manual/PR,Tier 1,Structured DOI and scholarly-link tables; 83 recent papers before enrichment
Cross-disciplinary Applications,Science & Discovery,Automated Scientific Discovery,yuanjiayiy/dope-ai4science-paper,https://github.com/yuanjiayiy/dope-ai4science-paper,Automated science discovery; AI4Science; math; physics; science of science,Active-2026 (verified 2026-08-31),Manual/PR,Tier 1,Uses double-bracket paper links now supported by the collector
Core Technology,Audio & Speech,Audio Deepfake Detection,john852517791/awesome-fake-audio-detection,https://github.com/john852517791/awesome-fake-audio-detection,Speech deepfake detection; spoofing; audio forensics; benchmarks,Active-2026 (verified 2026-08-31),Frequent curated updates,Tier 1,Verified parser coverage: 273 recent papers before scholarly enrichment
Cross-disciplinary Applications,Security & Cybersecurity,AI Security Research,TalEliyahu/Awesome-AI-Security,https://github.com/TalEliyahu/Awesome-AI-Security,LLM security; agent security; jailbreaks; privacy; defenses; offensive AI,Active-2026 (verified 2026-08-31),Frequent curated updates,Tier 2,Research-papers supplement with 2025 and 2026 sections
