Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning
gemini-3.5-flash-lite,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-3.6-flash,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-3.7-flash,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-robotics-er-1.6-preview,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
gemini-robotics-er-2-preview,Google,General-Purpose,Undisclosed,Undisclosed,Online: Gemini API (Preview),Yes
google/functiongemma-270m-it,Google,General-Purpose,270M,270M,Offline: Open Weight,No
google/gemma-1-2b-it,Google,General-Purpose,2B,2B,Offline: Open Weight,No
google/gemma-1-7b-it,Google,General-Purpose,7B,7B,Offline: Open Weight,No
google/gemma-2-27b-it,Google,General-Purpose,27B,27B,Offline: Open Weight,No
google/gemma-2-2b-it,Google,General-Purpose,2B,2B,Offline: Open Weight,No
google/gemma-2-9b-it,Google,General-Purpose,9B,9B,Offline: Open Weight,No
google/gemma-3-12b-it,Google,General-Purpose,12B,12B,Offline: Open Weight,No
google/gemma-3-1b-it,Google,General-Purpose,1B,1B,Offline: Open Weight,No
google/gemma-3-270m-it,Google,General-Purpose,270M,270M,Offline: Open Weight,No
google/gemma-3-27b-it,Google,General-Purpose,27B,27B,Offline: Open Weight,No
google/gemma-3-4b-it,Google,General-Purpose,4B,4B,Offline: Open Weight,No
google/gemma-3n-E2B-it,Google,General-Purpose,Undisclosed total,2B effective,Offline: Open Weight,No
google/gemma-3n-E4B-it,Google,General-Purpose,Undisclosed total,4B effective,Offline: Open Weight,No
google/gemma-4-12B-it,Google,General-Purpose,11.95B,11.95B,Offline: Open Weight,Yes
google/gemma-4-26B-A4B-it,Google,General-Purpose,25.2B,3.8B,Both: Open Weight / Gemini API,Yes
google/gemma-4-31B-it,Google,General-Purpose,30.7B,30.7B,Both: Open Weight / Gemini API,Yes
google/gemma-4-E2B-it,Google,General-Purpose,5.1B incl. embeddings,2.3B effective,Offline: Open Weight,Yes
google/gemma-4-E4B-it,Google,General-Purpose,8B incl. embeddings,4.5B effective,Offline: Open Weight,Yes
google/paligemma2-10b,Google,General-Purpose,10B,10B,Offline: Open Weight,No
google/paligemma2-28b,Google,General-Purpose,28B,28B,Offline: Open Weight,No
google/paligemma2-3b,Google,General-Purpose,3B,3B,Offline: Open Weight,No
MedGemma-1.5-4B,Google,General-Purpose,4B,4B,Offline: Open Weight,No
MedGemma-27B,Google,General-Purpose,27B,27B,Offline: Open Weight,No
TranslateGemma-12B,Google,General-Purpose,12B,12B,Offline: Open Weight,No
TranslateGemma-27B,Google,General-Purpose,27B,27B,Offline: Open Weight,No
TranslateGemma-4B,Google,General-Purpose,4B,4B,Offline: Open Weight,No
google/codegemma-2b,Google,Coding,2B,2B,Offline: Open Weight,No
google/codegemma-7b-it,Google,Coding,7B,7B,Offline: Open Weight,No
gemini-2.5-flash-image,Google,Image Generation,Undisclosed,Undisclosed,Online: Gemini API,No
gemini-3-pro-image,Google,Image Generation,Undisclosed,Undisclosed,Online: Gemini API (Stable),Yes
gemini-3.1-flash-image,Google,Image Generation,Undisclosed,Undisclosed,Online: Gemini API (Stable),No
gemini-3.1-flash-lite-image,Google,Image Generation,Undisclosed,Undisclosed,Online: Gemini API (Stable),No
imagen-4.0-generate,Google,Image Generation,Undisclosed,Undisclosed,"Online: Gemini API (Deprecated, still available)",No
gemini-omni-flash-preview,Google,Video Generation,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
veo-3.1-generate-preview,Google,Video Generation,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
veo-3.1-lite-generate-preview,Google,Video Generation,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
gemini-2.5-flash-native-audio-preview-12-2025,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini Live API (Preview),Yes
gemini-2.5-flash-preview-tts,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
gemini-2.5-pro-preview-tts,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
gemini-3.1-flash-live-preview,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini Live API (Preview),Yes
gemini-3.1-flash-tts-preview,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
gemini-3.5-live-translate-preview,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini Live API (Preview),No
lyria-3-clip-preview,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
lyria-3-pro-preview,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
lyria-realtime-exp,Google,Speech & Audio,Undisclosed,Undisclosed,Online: Gemini API (Experimental),No
EmbeddingGemma,Google,Embedding,308M,308M,Offline: Open Weight,No
gemini-embedding-001,Google,Embedding,Undisclosed,Undisclosed,Online: Gemini API,No
gemini-embedding-2-preview,Google,Embedding,Undisclosed,Undisclosed,Online: Gemini API (Preview),No
ShieldGemma-27B,Google,Safety & Moderation,27B,27B,Offline: Open Weight,No
ShieldGemma-2B,Google,Safety & Moderation,2B,2B,Offline: Open Weight,No
ShieldGemma-9B,Google,Safety & Moderation,9B,9B,Offline: Open Weight,No
Muse Spark,Meta,General-Purpose,Undisclosed,Undisclosed,Online: Meta AI / Private API Preview,Yes
muse-spark-1.1,Meta,General-Purpose,Undisclosed,Undisclosed,Online: Meta AI / Meta Model API (Preview),Yes
muse-spark-1.2,Meta,General-Purpose,Undisclosed,Undisclosed,Online: Muse Code / Meta Model API,Yes
muse-spark-1.2-contributor,Meta,General-Purpose,Undisclosed,Undisclosed,Online: Meta Model API,Yes
meta-models/Muse-Glimmer-30B,Meta,General-Purpose,30B,30B,Offline: Official Hugging Face / Open Weight,Yes
Muse Image,Meta,Image Generation,Undisclosed,Undisclosed,Online: Meta AI,Yes
Muse Video,Meta,Video Generation,Undisclosed,Undisclosed,Online: Meta AI (Preview),No
Llama 3.2 11B Vision Instruct,Meta,General-Purpose,11B,11B,Offline: Open Weight,No
Llama 3.2 1B Instruct,Meta,General-Purpose,1B,1B,Offline: Open Weight,No
Llama 3.2 3B Instruct,Meta,General-Purpose,3B,3B,Offline: Open Weight,No
Llama 3.2 90B Vision Instruct,Meta,General-Purpose,90B,90B,Offline: Open Weight,No
Llama 3.3 70B Instruct,Meta,General-Purpose,70B,70B,Offline: Open Weight,No
Llama 4 Maverick,Meta,General-Purpose,≈400B,17B/token,Offline: Open Weight,No
Llama 4 Scout,Meta,General-Purpose,109B,17B/token,Offline: Open Weight,No
meta-llama/Llama-3.1-405B-Instruct,Meta,General-Purpose,405B,405B,Offline: Official Hugging Face / Open Weight,No
meta-llama/Llama-3.1-70B-Instruct,Meta,General-Purpose,70B,70B,Offline: Official Hugging Face / Open Weight,No
meta-llama/Llama-3.1-8B-Instruct,Meta,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,No
meta-llama/Llama-Guard-4-12B,Meta,Safety & Moderation,12B,12B,Offline: Official Hugging Face / Open Weight,No
meta-llama/Llama-Prompt-Guard-2-86M,Meta,Safety & Moderation,86M,86M,Offline: Official Hugging Face / Open Weight,No
grok-4.20-0309-non-reasoning,xAI,General-Purpose,Undisclosed,Undisclosed,Online: Grok / API,No
grok-4.20-0309-reasoning,xAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
grok-4.20-multi-agent-0309,xAI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
grok-4.3,xAI,General-Purpose,Undisclosed,Undisclosed,Online: Grok / API,Yes
grok-4.5,xAI,General-Purpose,Undisclosed,Undisclosed,Online: Grok / API,Yes
grok-4.6,xAI,General-Purpose,Undisclosed,Undisclosed,,
grok-build-0.1,xAI,Coding,Undisclosed,Undisclosed,Online: API,Yes
grok-imagine-image,xAI,Image Generation,Undisclosed,Undisclosed,Online: API,No
grok-imagine-image-quality,xAI,Image Generation,Undisclosed,Undisclosed,Online: API,No
grok-imagine-video,xAI,Video Generation,Undisclosed,Undisclosed,Online: API,No
grok-imagine-video-1.5,xAI,Video Generation,Undisclosed,Undisclosed,Online: API,No
grok-voice-think-fast-1.0,xAI,Speech & Audio,Undisclosed,Undisclosed,Online: API,Yes
grok-voice-think-fast-2.0,xAI,Speech & Audio,Undisclosed,Undisclosed,Online: API,Yes
Ministral 3 14B (v25.12),Mistral AI,General-Purpose,14B,14B,Both: API / Open Weight,No
Ministral 3 3B (v25.12),Mistral AI,General-Purpose,3B,3B,Both: API / Open Weight,No
Ministral 3 8B (v25.12),Mistral AI,General-Purpose,8B,8B,Both: API / Open Weight,No
Mistral Medium 3.5 (v26.04),Mistral AI,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
Mistral Small 4 (v26.03),Mistral AI,General-Purpose,Undisclosed,Undisclosed,Both: API / Open Weight,Yes
mistral-large-2512 (Mistral Large 3),Mistral AI,General-Purpose,675B,41B/token,Both: API / Open Weight,No
mistralai/Mistral-7B-Instruct-v0.3,Mistral AI,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
mistralai/Mistral-Medium-3.5-128B,Mistral AI,General-Purpose,128B,128B,Both: API / Official Hugging Face Open Weight,Yes
Codestral (v25.08),Mistral AI,Coding,Undisclosed,Undisclosed,Online: API,No
Leanstral 1.5,Mistral AI,Coding,Undisclosed,Undisclosed,Both: API / Open Weight,Yes
Voxtral Mini Transcribe 2,Mistral AI,Speech & Audio,Undisclosed,Undisclosed,Online: API,No
Voxtral Mini Transcribe Realtime,Mistral AI,Speech & Audio,Undisclosed,Undisclosed,Both: API / Open Weight,No
Voxtral Small (v25.07),Mistral AI,Speech & Audio,Undisclosed,Undisclosed,Both: API / Open Weight,No
Voxtral TTS,Mistral AI,Speech & Audio,Undisclosed,Undisclosed,Online: API,No
Codestral Embed,Mistral AI,Embedding,Undisclosed,Undisclosed,Online: API,No
Mistral Embed,Mistral AI,Embedding,Undisclosed,Undisclosed,Online: API,No
Mistral Moderation 2,Mistral AI,Safety & Moderation,Undisclosed,Undisclosed,Online: API,No
Shieldstral 1.0,Mistral AI,Safety & Moderation,Undisclosed,Undisclosed,Both: API / Open Weight,No
Qwen/Qwen2.5-0.5B-Instruct,Alibaba / Qwen,General-Purpose,0.5B,0.5B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-1.5B-Instruct,Alibaba / Qwen,General-Purpose,1.5B,1.5B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-14B-Instruct,Alibaba / Qwen,General-Purpose,14B,14B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-32B-Instruct,Alibaba / Qwen,General-Purpose,32B,32B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-3B-Instruct,Alibaba / Qwen,General-Purpose,3B,3B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-72B-Instruct,Alibaba / Qwen,General-Purpose,72B,72B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-7B-Instruct,Alibaba / Qwen,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Omni-3B,Alibaba / Qwen,General-Purpose,3B,3B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Omni-7B,Alibaba / Qwen,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-VL-3B-Instruct,Alibaba / Qwen,General-Purpose,3B,3B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-VL-72B-Instruct,Alibaba / Qwen,General-Purpose,72B,72B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-VL-7B-Instruct,Alibaba / Qwen,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-0.6B,Alibaba / Qwen,General-Purpose,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-1.7B,Alibaba / Qwen,General-Purpose,1.7B,1.7B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-14B,Alibaba / Qwen,General-Purpose,14B,14B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-235B-A22B,Alibaba / Qwen,General-Purpose,235B,22B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-30B-A3B,Alibaba / Qwen,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-32B,Alibaba / Qwen,General-Purpose,32B,32B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-4B,Alibaba / Qwen,General-Purpose,4B,4B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-8B,Alibaba / Qwen,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-Omni-30B-A3B-Captioner,Alibaba / Qwen,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Omni-30B-A3B-Instruct,Alibaba / Qwen,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-235B-A22B-Instruct,Alibaba / Qwen,General-Purpose,235B,22B/token,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-235B-A22B-Thinking,Alibaba / Qwen,General-Purpose,235B,22B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-VL-30B-A3B-Instruct,Alibaba / Qwen,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-30B-A3B-Thinking,Alibaba / Qwen,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-VL-32B-Instruct,Alibaba / Qwen,General-Purpose,32B,32B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-8B-Instruct,Alibaba / Qwen,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-8B-Thinking,Alibaba / Qwen,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-122B-A10B,Alibaba / Qwen,General-Purpose,122B,10B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-27B,Alibaba / Qwen,General-Purpose,27B,27B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-2B,Alibaba / Qwen,General-Purpose,2B,2B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-35B-A3B,Alibaba / Qwen,General-Purpose,35B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-397B-A17B,Alibaba / Qwen,General-Purpose,397B,17B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-4B,Alibaba / Qwen,General-Purpose,4B,4B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.5-9B,Alibaba / Qwen,General-Purpose,9B,9B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.6-35B-A3B,Alibaba / Qwen,General-Purpose,35B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
qwen3.5-flash,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.5-omni-flash,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.5-omni-plus,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.5-plus,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.6-flash,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.6-plus,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.7-flash,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.7-max,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.7-plus,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.8-max,Alibaba / Qwen,General-Purpose,Undisclosed,Undisclosed,Online: Model Studio API,Yes
Qwen/Qwen3.8-2.4T-A95B,Alibaba / Qwen,General-Purpose,2.4T,95B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3.8-27B,Alibaba / Qwen,General-Purpose,27B,27B,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen2.5-Coder-0.5B-Instruct,Alibaba / Qwen,Coding,0.5B,0.5B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Coder-1.5B-Instruct,Alibaba / Qwen,Coding,1.5B,1.5B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Coder-14B-Instruct,Alibaba / Qwen,Coding,14B,14B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Coder-32B-Instruct,Alibaba / Qwen,Coding,32B,32B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Coder-3B-Instruct,Alibaba / Qwen,Coding,3B,3B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen2.5-Coder-7B-Instruct,Alibaba / Qwen,Coding,7B,7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Coder-30B-A3B-Instruct,Alibaba / Qwen,Coding,30.5B,3.3B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-Coder-480B-A35B-Instruct,Alibaba / Qwen,Coding,480B,35B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen3-Coder-Next,Alibaba / Qwen,Coding,80B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
Qwen/Qwen-Image,Alibaba / Qwen,Image Generation,20B,20B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen-Image-2512,Alibaba / Qwen,Image Generation,20B,20B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen-Image-Edit,Alibaba / Qwen,Image Generation,20B,20B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen-Image-Edit-2509,Alibaba / Qwen,Image Generation,20B,20B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen-Image-Edit-2511,Alibaba / Qwen,Image Generation,20B,20B,Offline: Official Hugging Face / Open Weight,No
qwen-audio-3.0-asr-flash-filetrans,Alibaba / Qwen,Speech & Audio,Undisclosed,Undisclosed,Online: Model Studio API,No
qwen-audio-3.0-asr-flash-streaming,Alibaba / Qwen,Speech & Audio,Undisclosed,Undisclosed,Online: Model Studio API,No
Qwen/Qwen3-ASR-0.6B,Alibaba / Qwen,Speech & Audio,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-ASR-1.7B,Alibaba / Qwen,Speech & Audio,1.7B,1.7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-ForcedAligner-0.6B,Alibaba / Qwen,Speech & Audio,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-TTS-12Hz-0.6B-Base,Alibaba / Qwen,Speech & Audio,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,Alibaba / Qwen,Speech & Audio,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-TTS-12Hz-1.7B-Base,Alibaba / Qwen,Speech & Audio,1.7B,1.7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,Alibaba / Qwen,Speech & Audio,1.7B,1.7B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign,Alibaba / Qwen,Speech & Audio,1.7B,1.7B,Offline: Official Hugging Face / Open Weight,No
qwen3.5-omni-flash-realtime,Alibaba / Qwen,Speech & Audio,Undisclosed,Undisclosed,Online: Model Studio API,Yes
qwen3.5-omni-plus-realtime,Alibaba / Qwen,Speech & Audio,Undisclosed,Undisclosed,Online: Model Studio API,Yes
Qwen/Qwen3-Embedding-0.6B,Alibaba / Qwen,Embedding,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Embedding-4B,Alibaba / Qwen,Embedding,4B,4B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Embedding-8B,Alibaba / Qwen,Embedding,8B,8B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Reranker-0.6B,Alibaba / Qwen,Embedding,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Reranker-4B,Alibaba / Qwen,Embedding,4B,4B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-Reranker-8B,Alibaba / Qwen,Embedding,8B,8B,Offline: Official Hugging Face / Open Weight,No
